idx,label,sentence1,sentence2,explanation
0,neutral,Two women are embracing while holding to go packages.,The sisters are hugging goodbye while holding to go packages after just eating lunch.,The to go packages may not be from lunch.
1,entailment,Two women are embracing while holding to go packages.,Two woman are holding packages.,Saying the two women are holding packages is a way to paraphrase that the packages they are holding are to go packages.
2,contradiction,Two women are embracing while holding to go packages.,The men are fighting outside a deli.,In the first sentence there is an action of affection between women while on the second sentence there is a fight between men.
3,entailment,"Two young children in blue jerseys, one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink.",Two kids in numbered jerseys wash their hands.,Young children are kids. Jerseys with number 9 and 2 are numbered jerseys.
4,neutral,"Two young children in blue jerseys, one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink.",Two kids at a ballgame wash their hands.,Two kids in jerseys watching their hands are not necessarily at  a ballgame.
5,contradiction,"Two young children in blue jerseys, one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink.",Two kids in jackets walk to school.,"If you're wearing a jacket, you won't be able to see the blue jerseys. When you're standing in a bathroom, you cannot be walking to school at the same time."
6,contradiction,A man selling donuts to a customer during a world exhibition event held in the city of Angeles,A woman drinks her coffee in a small cafe.,"There can be either a man or a woman, who can be either selling donuts or drinking coffee."
7,neutral,A man selling donuts to a customer during a world exhibition event held in the city of Angeles,A man selling donuts to a customer during a world exhibition event while people wait in line behind him.,Just because a customer buys donuts at a world exhibition event doesn't mean people are waiting in line behind him.
8,entailment,A man selling donuts to a customer during a world exhibition event held in the city of Angeles,A man selling donuts to a customer.,A man selling donuts is selling donuts.
9,entailment,"Two young boys of opposing teams play football, while wearing full protection uniforms and helmets.",boys play football,If the boys of opposing teams play football then the boys play football.
10,contradiction,"Two young boys of opposing teams play football, while wearing full protection uniforms and helmets.",dog eats out of bowl,Boys are not dogs.
11,neutral,"Two young boys of opposing teams play football, while wearing full protection uniforms and helmets.",boys scoring a touchdown,Boys can refer to more individuals than two young boys. Playing football does not imply they are scoring a touchdown.
12,neutral,A man in a blue shirt standing in front of a garage-like structure painted with geometric designs.,A man is repainting a garage,"Just because a man is standing in front of a structure that is painted with geometric designs, doesn't mean he is repainting it. A garage-like structure isn't necessarily a garage."
13,entailment,A man in a blue shirt standing in front of a garage-like structure painted with geometric designs.,A man is wearing a blue shirt,"""in a blue shirt"" is inferred as ""wearing a blue shirt""."
14,contradiction,A man in a blue shirt standing in front of a garage-like structure painted with geometric designs.,A man is wearing a black shirt,Blue is a different color than black.
15,entailment,"Under a blue sky with white clouds, a child reaches up to touch the propeller of a plane standing parked on a field of grass.",A child is reaching to touch the propeller of a plane.,There are both child reaching up to touch a propeller.
16,neutral,"Under a blue sky with white clouds, a child reaches up to touch the propeller of a plane standing parked on a field of grass.",A child is reaching to touch the propeller out of curiosity.,We don't know why the child is touching the propellor. It could be curiosity or any other emotion or reason.
17,contradiction,"Under a blue sky with white clouds, a child reaches up to touch the propeller of a plane standing parked on a field of grass.",A child is playing with a ball.,A plane is not a ball.
18,entailment,A woman is doing a cartwheel while wearing a bikini in the sand next to the beach.,A woman is doing a cartwheel.,Both woman are doing a cartwheel.
