,questions,documents,answers,explanations
0,"Können Masken die Anzahl an Corona-Infektionen verringern, wenn sie von einem großen Teil der Bevölkerung getragen werden?","Studien zeigen gebremste Ausbreitung  Nach drei Jahren Pandemie gibt es mittlerweile relativ aussagekräftige Daten dazu, dass Masken die Ausbreitung des Corona-Virus bremsen können. OP-Masken wiederum scheinen das Risiko so gut wie nicht zu senken, sich selbst mit dem Coronavirus anzustecken.",yes,"Internationale Studien legen nahe, dass die Zahl an Corona-Infektionen sinkt, wenn viele Menschen Masken tragen – egal ob Stoff-, OP- oder FFP2-Masken. Wie groß der Schutzeffekt tatsächlich ist, lässt sich aber nicht genau beziffern. Er hängt vermutlich von der Art der Masken und dem Anteil der Menschen ab, die sie tragen."
1,Können homöopathische Präparate mit Anamirta cocculus gegen Schwindel helfen?,"Doch ohne Erfolg: Aussagekräftige wissenschaftliche Belege für eine Wirksamkeit bei Schwindel konnten wir keine finden. Es ist inzwischen gut durch Studien belegt, dass homöopathische Präparate in der Regel nicht besser wirken als ein Scheinmedikament (Placebo) [8] . Allerdings ist nicht gut belegt, dass Betahistin wirksam gegen Schwindel ist [11,13] . Dass Betahistin bei Schwindel hilft, ist nicht gut belegt [11, 13] .",unknown,"Wir haben nur eine einzige Studie gefunden, die das untersucht hat. Die ist allerdings so mangelhaft, dass keine verlässliche Aussage möglich ist."
2,Kann Zeolith Gesundheitsprobleme lindern oder diesen vorbeugen?,"Hinweise darauf kann jedoch keine davon liefern – denn die Studien besitzen keinerlei Aussagekraft (zur Begründung siehe Abschnitt Studien im Detail ). Einen Vorteil für Zeolith findet sie nicht – die Ergebnisse sind aber kaum aussagekräftig. Ob die regelmäßige Einnahme von Zeolith dadurch zu einem Nährstoffmangel führen kann oder eine unerwünschte Auswirkung auf die Verdauung hat, ist allerdings nicht erforscht.",unknown,"Bisherige Studien können keine Hinweise darauf geben, dass die Einnahme von Zeolith Beschwerden vorbeugt oder sie lindert. Eine entgiftende Wirkung ist wissenschaftlich nicht plausibel."
3,Schützt Paxlovid ungeimpfte Menschen mit Risikofaktoren vor einer schweren oder sogar tödlichen Covid-19-Erkrankung?,"Risikopatientinnen und -patienten ohne Coronaimpfung sind durch Paxlovid offenbar gut vor schweren bis tödlichen Verläufen geschützt. Allerdings lässt sich nicht sicher sagen, wie gut Paxlovid bei Menschen hilft, die bereits eine Coronaimpfung erhalten haben. Außerdem erfassten die Wissenschaftlerinnen und Wissenschaftler, ob Paxlovid die Covid-19-Symptome linderte, die Krankheitsdauer verkürzte und den Bedarf für medizinische Behandlungen senkte:   Bei der Hälfte der Teilnehmenden verbesserten sich die Symptome mit Paxlovid nach 13 Tagen, mit Placebo nach 15 Tagen. Mit Paxlovid benötigten innerhalb eines Monats 14 von 1000 Teilnehmenden eine medizinische Behandlung wegen Covid-19, mit Placebo 76 von 1000. Ob mit oder ohne Antikörper im Blut – grundsätzlich schützte Paxlovid alle Menschen vor einem schweren Verlauf.",yes,"In einer großen, gut gemachten Studie verhinderte Paxlovid Krankenhausaufenthalte und Todesfälle von Risikopatientinnen und -patienten. Sie waren ungeimpft und hatten sich mit der Delta-Variante angesteckt. Für Geimpfte lässt sich der Nutzen nicht verlässlich abschätzen. Das gilt auch für Menschen mit Immunschwäche."
4,"Verbessert ein späterer Schulbeginn Gesundheit, Lernerfolg und Lebensqualität bei Jugendlichen?","Allerdings müssen Teenager und Eltern jetzt ganz stark sein: Denn trotz 27 Studien an hunderttausenden Schülerinnen und Schülern lassen sich aus der Forschung keine eindeutigen Ergebnisse ableiten. Das Problem: Die Studien kommen meist zu widersprüchlichen Ergebnissen. Bis bessere Forschungsergebnisse vorliegen, bleibt allen geplagten Jugendlichen und Eltern also nur die Option, sich weiterhin früh aus dem Bett zu quälen – oder zu hoffen, dass die Schulleitung trotz fehlender Belege dennoch Einsehen hat. Ob sich ein späterer Schulbeginn positiv auswirkt, ist schwierig zu untersuchen. Die Probleme:   Unbekannte Einflussfaktoren: Treten in Vorher-Nachher-Studien Unterschiede auf, müssen diese nicht durch den späteren Schulbeginn bedingt sein – sie können auch durch andere Veränderungen im Lauf des Untersuchungszeitraums verursacht worden sein.",unknown,"Die Fragestellung ist in mehreren großen Studien untersucht worden. Wegen methodischer Mängel und widersprüchlicher Ergebnisse lassen sich daraus keine sicheren Schlussfolgerungen ziehen. Das heißt, die Wissenschaft kann sich aktuell weder für noch gegen einen Nutzen eines späteren Schulstarts aussprechen."
5,Hat die F.X.-Mayr-Kur gesundheitliche Vorteile? Kann sie Erkrankungen vorbeugen oder diese behandeln?,"Die Behauptung, die Methode könne bei verschiedenen Erkrankungen helfen, ist also wissenschaftlich nicht gerechtfertigt. Ob diese Veränderungen außerdem die Gesundheit beeinflussen, können diese Studien nicht beantworten. Ob die F.X.-Mayr-Kur oder anderen Fasten-Methoden auch langfristig die Gesundheit verbessern, lässt sich daraus aber nicht schließen.",unknown,"Es ist weder untersucht noch belegt, ob die spezielle Fasten-Methode nach F.X. Mayr hält, was sie verspricht: Nämlich Hilfe bei allen möglichen Erkrankungen von Allergien, über Rheuma bis Schlafstörungen. Die beworbene Entgiftung und „Entschlackung“ des Körpers durch die Fasten-Kur sind zudem wissenschaftlich nicht plausibel."
6,Beeinflusst der Verzehr von Soja-Lebensmittel oder Soja-Isoflavonen das Hautbild bei Akne?,"Für die Wirkung auf die Haut werden in beiden Fällen bestimmte Soja-Inhaltsstoffe verantwortlich gemacht: die Isoflavone. Dazu gibt es zwei konkurrierende Theorien, die sich widersprechen:  Nach der ersten Theorie bringen Isoflavone den Hormonhaushalt durcheinander und sollen auf diesem Weg Akne fördern. Erstaunlicherweise konnten wir trotz Suche in zwei großen Datenbanken keine Studie zu Soja-Produkten und Akne finden – egal ob Sojamilch, Sojasauce oder Tofu. Durch die Isoflavone verbesserte sich das Hautbild mehr als durch eine Anti-Akne-Creme mit Vitamin-A-Säure (Tretinoin). Fazit: Darauf, dass Soja Akne verschlimmert, gibt es derzeit keine Hinweise aus verlässlichen Studien.",unknown,"Zum Einfluss von Soja-Lebensmitteln auf Akne konnten wir gar keine aussagekräftigen Studien finden. Zu Soja-Isoflavonen haben wir zwei kleine Studien von fraglicher Qualität gefunden, die eine sehr spezielle Gruppe von Betroffenen untersucht haben. Soja-Isoflavone verbesserten dabei das Hautbild etwas. Verlässlich ist dieses Ergebnis aber nicht."
7,Hilft Extrakt aus der Damiana-Pflanze (Turnera diffusa) bei Erektionsstörungen?,Eine Wirksamkeit wurde offenbar weder untersucht noch belegt. Die Studien im Detail   Wir konnten keine Studien zu Damiana-Extrakt gegen Erektionsstörungen bei Männern finden. Auch Studien zum Produkt Neradin fehlen offenbar.,unknown,Der Extrakt aus der Damiana-Pflanze (Turnera diffusa) wird als Mittel gegen Erektionsstörungen für den Mann beworben. Belegt ist diese behauptete Wirkung auf die Potenz jedoch keineswegs. Denn an Menschen wurde sie offenbar nie untersucht. Das gilt auch für homöopathische Mittel wie das Produkt Neradin.
8,Ist das homöopathische Mittel Neradin wirksam bei Erektionsstörungen??,Keine Studien zu Neradin  Auch unsere Suche nach Studien zum Produkt Neradin blieb ergebnislos. Auch Studien zum Produkt Neradin fehlen offenbar.,unknown,Der Extrakt aus der Damiana-Pflanze (Turnera diffusa) wird als Mittel gegen Erektionsstörungen für den Mann beworben. Belegt ist diese behauptete Wirkung auf die Potenz jedoch keineswegs. Denn an Menschen wurde sie offenbar nie untersucht. Das gilt auch für homöopathische Mittel wie das Produkt Neradin.
9,Entdeckt ein regelmäßiger HPV-Test zusätzlich zum empfohlenen PAP-Abstrich mehr Krebsvorstufen als nur der PAP-Abstrich alleine?,"Den Studien zufolge entdeckt der HPV-Test über mehrere Jahre hinweg wahrscheinlich geringfügig mehr Vorstufen von Gebärmutterhalskrebs als der PAP-Abstrich alleine. Wir sind uns daher relativ sicher, dass mit einem zusätzlichen HPV-Test zumindest ein bisschen mehr Vorstufen von Gebärmutterkrebs entdeckt werden als nur mit dem PAP-Abstrich alleine.",yes,"Durch die regelmäßige Untersuchung des Gebärmutterhalses mittels PAP-Abstrich werden Vorstufen von Gebärmutterhalskrebs in den meisten Fällen rechtzeitig entdeckt. Das senkt das Risiko, an Gebärmutterhalskrebs zu erkranken. Ein zusätzlicher HPV-Test alle drei bis fünf Jahre kann die Vorsorgeuntersuchung noch verlässlicher machen. Der Unterschied dürfte allerdings nicht allzu groß sein."
