,questions,documents,answers,explanations
0,Lindert Dimenhydrinat Reiseübelkeit besser als ein Scheinmedikament?,"Allerdings sind wir hier sehr skeptisch: Wir halten die Ergebnisse für so wenig aussagekräftig, dass wir eine Wirksamkeit weder belegt sehen noch diese ausschließen können. Etwas fraglich bleibt es insgesamt auch, wie verlässlich sich die Ergebnisse auf andere Situationen übertragen lassen, in denen Reiseübelkeit auftritt. Doch wir halten diese Einschätzung nicht für aussagekräftig: Dafür war die Anzahl der Testpersonen viel zu klein, und, damit verbunden, die Schwankungsbreite viel zu groß.",unknown,"Die besten verfügbaren Studien zum Thema sind leider nicht aussagekräftig, etwa weil sie ziemlich klein waren und in den Veröffentlichungen viele Details zur Nachvollziehbarkeit fehlen.  Daher können wir eine Wirkung weder belegen noch ausschließen."
1,Lindert Dimenhydrinat Reiseübelkeit so gut wie das bewährte Medikament Scopolamin??,"Laut Studienautoren soll Dimenhydrinat zwar besser helfen als ein Placebomittel, aber schlechter wirken als das bewährte Medikament Scopolamin.",unknown,"Die besten verfügbaren Studien zum Thema sind leider nicht aussagekräftig, etwa weil sie ziemlich klein waren und in den Veröffentlichungen viele Details zur Nachvollziehbarkeit fehlen.  Daher können wir eine Wirkung weder belegen noch ausschließen."
2,Verbessert kurzzeitiges Fasten die Lebensqualität bei Krebs?,"Auf dieser Basis können wir daher nicht verlässlich sagen, ob Fasten während der Chemotherapie tatsächlich sinnvoll ist oder nicht, also Nebenwirkungen reduziert und die Lebensqualität erhöht. Hinsichtlich der Lebensqualität gibt es schon innerhalb der einzelnen Studien Widersprüche:  In der Untersuchung [1b] , bei der die Teilnehmerinnen nach der Hälfte der Chemotherapie zwischen Fasten und Nicht-Fasten wechselten, verbesserte sich nur in einer Gruppe beim Fasten die Lebensqualität, in der anderen nicht. Ob das für Krebs-Patientinnen und -Patienten aber tatsächlich spürbar ist, bleibt fraglich.",unknown,"Zu beiden Fragen haben wir nur drei sehr kleine Studien gefunden. Deren Ergebnisse sind so wenig verlässlich, dass wir keine Einschätzung treffen können. Wir können also nicht sagen, ob sich die Lebensqualität der Betroffenen verbessert und ob Fasten bei der Chemotherapie die Nebenwirkungen reduziert."
3,Verringert kurzzeitiges Fasten die Nebenwirkungen einer Chemotherapie bei Krebs??,"Auf dieser Basis können wir daher nicht verlässlich sagen, ob Fasten während der Chemotherapie tatsächlich sinnvoll ist oder nicht, also Nebenwirkungen reduziert und die Lebensqualität erhöht. Ob Fasten die Nebenwirkungen einer Chemotherapie verhindert oder abmildert, wird aus den Ergebnissen ebenfalls nicht klar: In einer der Untersuchungen [1a] zeigte sich kein Unterschied bei den Nebenwirkungen wie Abgeschlagenheit oder Nervenschmerzen: Sie waren in beiden Gruppen ähnlich häufig und ähnlich schwer. Das alles führt dazu, dass die Ergebnisse der Studien äußerst unsicher sind und wir eine Wirksamkeit des Fastens weder belegt sehen noch ausschließen können.",unknown,"Zu beiden Fragen haben wir nur drei sehr kleine Studien gefunden. Deren Ergebnisse sind so wenig verlässlich, dass wir keine Einschätzung treffen können. Wir können also nicht sagen, ob sich die Lebensqualität der Betroffenen verbessert und ob Fasten bei der Chemotherapie die Nebenwirkungen reduziert."
4,Wirken Extrakte aus Artemisa annua (Einjähriger Beifuß) oder der daraus gewonnene Wirkstoff Artemisinin gegen das Coronavirus?,"Zur Vorbeugung einer Corona-Infektion haben wir keine Studien gefunden. Diese hat jedoch mehrere Ungereimtheiten, sodass sie nicht beantworten kann, ob Artemisia Erkrankten hilft. Von der beschränkten Anti-Malaria-Wirkung des Artemisinin lässt sich allerdings nicht auf eine Wirksamkeit gegen andere Krankheiten schließen. Aus mehreren Gründen halten wir diese Ergebnisse nicht für verlässlich: So unterschied sich die Standardbehandlung stark: manche der Teilnehmenden erhielten beispielsweise als wirksam bekannte Cortison-haltige Medikamente, andere hingegen nicht.",unknown,"Bisher findet sich nur eine einzige Studie, die eine Artemisia-Behandlung bei einem milden Covid-19-Verlauf untersucht hat. Aufgrund zahlreicher Mängel sind die Ergebnisse jedoch nicht aussagekräftig. Nicht untersucht wurde, ob Artemisia bei einer schweren Covid-19-Erkrankung hilft oder davor bewahrt, oder ob die Pflanze einer Infektion mit dem Coronavirus vorbeugen kann."
5,Kann Zink den Verlauf von Covid-19 mildern?,"So dürfte Zink nicht bewirken, dass es Covid-19-Erkrankten rascher wieder besser geht [3] . Verglichen mit der anderen Hälfte, die kein Zink einnahm, wurden sie jedoch nicht schneller wieder gesund. Diese Ergebnisse deuten also an, dass eine Behandlung mit Zink bei Covid-19 keine Hilfe ist.",no,"Die Ergebnisse zweier Studien dazu deuten an, dass Erkrankte mit Covid-19 mit Zink nicht rascher genesen als ohne. Eine vorbeugende Wirkung ist bisher nicht in Studien untersucht worden."
6,Schützt Zink vorbeugend vor einer Covid-19-Erkrankung??,"Eine vorbeugende Wirkung ist bisher in keiner einzigen Studie erforscht worden. Ob die vorbeugende Einnahme von Zink-Präparaten vor einer Infektion mit SARS-CoV-2 oder einer Covid-19-Erkrankung schützt, ist somit unklar.",unknown,"Die Ergebnisse zweier Studien dazu deuten an, dass Erkrankte mit Covid-19 mit Zink nicht rascher genesen als ohne. Eine vorbeugende Wirkung ist bisher nicht in Studien untersucht worden."
7,Schützt ein Erkältungsspray mit Trypsin vor Erkältungen oder Covid-19? Verringert der Spray Erkrankungsbeschwerden und -dauer?,"Ob der Erkältungsspray eine Erkrankung verhindern kann, hat keine bisher veröffentlichte Studie untersucht. Damit lässt also nicht sicher nachweisen, dass der Erkältungsspray die Dauer einer Erkältung verkürzt. Schaut man sich die Zahl der Menschen an, die nach künstlicher Infektion überhaupt von Erkältungsbeschwerden berichten (21 von 23 in der Spraygruppe, 16 von 23 in der Placebogruppe), lässt sich kein eindeutiger Unterschied zeigen, der für einen vorbeugenden Effekt des Erkältungssprays spricht. Daher halten wir die Ergebnisse der Studie für nicht aussagekräftig: Mit Spray beurteilten die Teilnehmenden die Dauer ihrer Erkältung kürzer (7,7 Tage) als ohne Spray (10,4 Tage). Interessanterweise gab es hier keinen klaren Unterschied zwischen den beiden Gruppen: Die Spraygruppe griff nicht wesentlich seltener zu anderen Erkältungsmitteln als die Kontrollgruppe.",unknown,"Die Frage wurde in zwei kleinen Studien mit groben Mängeln untersucht. Sie können nicht belegen, dass eine Behandlung mit dem Erkältungsspray Beschwerden lindert oder die Erkrankungsdauer verkürzt. Ob der Spray eine vorbeugende Wirkung hat, ist weder für Erkältungen noch für Covid-19 erforscht."
8,"Schützt das Spritzen von niedrigdosierten Corona-Impfstoffen in die Haut (Mesotherapie-Impfung, Mikrovakzination) gleich gut vor Covid-19 wie die erprobte Impfung der vollen Dosis in den Muskel?","Ob die Mesotherapie-Impfung gegen das Coronavirus vor einer Covid-19-Erkrankung schützt, ist nicht erforscht. Ob die Corona-Impfung mittels Mesotherapie wirksamen Schutz vor Covid-19 bietet, bleibt unklar.",unknown,"Manche Ärztinnen und Ärzte bieten die Corona-Impfung nach der sogenannten mesotherapeutischen Methode an. Geimpft wird dabei in die Haut anstatt in den Oberarmmuskel, mit einem Bruchteil der erprobten und zugelassenen Dosis. Solche Anwendungen sind für die Corona-Impfstoffe nicht erforscht. Ein wirksamer Schutz vor Covid-19 ist nicht gesichert."
9,Verhindern pflanzliche Mittel mit Kapuzinerkresse und Meerrettich (Kren) wiederkehrende Blasenentzündungen?,"In der Studie zur Vorbeugung ist nachzulesen, dass sich das pflanzliche Mittel und das Scheinmedikament bei Beschwerden wie Übelkeit oder allergischen Reaktionen nicht wesentlich unterschieden [1] . Demnach bietet das Kapuzinerkresse-Meerrettichpräparat wahrscheinlich keinen vorbeugenden Schutz.",no,"Zur Vorbeugung haben wir nur eine kleine, aber einigermaßen verlässliche Studie gefunden. Demnach können Kapuzinerkresse-Meerrettich-Mittel Blasenentzündungen wohl nicht verhindern. Zur Behandlung einer Blasenentzündung konnten wir ebenfalls nur eine Studie auswerten. Sie lässt aber zu viele Fragen offen, um die Wirksamkeit klar einschätzen zu können."
