,questions,documents,answers,explanations
0,Can masks reduce corona infections when worn by a large proportion of the population?,"Studies show slow spread After three years of pandemic, there are now relatively meaningful data that masks can slow down the spread of the Corona virus. Surgical masks, in turn, seem to reduce the risk of infecting themselves with the corona virus.",yes,"International studies suggest that the number of corona infections decreases when many people wear masks - whether fabric, surgical or FFP2 masks. However, it is not possible to precisely quantify how great the protective effect actually is. It probably depends on the type of masks and the proportion of people who wear them."
1,Can homeopathic preparations with Anamirta cocculus help against dizziness?,"But without success: We could not find any meaningful scientific evidence for effectiveness in dizziness. It is now well proven by studies that homeopathic preparations usually do not work better than a sham medication (placebo) [8]. However, it is not well established that betahistine is effective against dizziness [11.13]. The fact that betahist helps with dizziness is not well documented [11, 13].",unknown,"We have found only one study that has investigated this. However, it is so poor that no reliable statement is possible."
2,Can zeolite alleviate or prevent health problems?,"However, none of these can provide any evidence – because the studies have no significance (for reasons see section Studies in detail ). It does not find an advantage for zeolite – but the results are hardly meaningful. However, it is not researched whether the regular intake of zeolite can lead to a nutrient deficiency or has an undesirable effect on digestion.",unknown,Studies to date cannot provide any evidence that taking zeolite prevents or alleviates complaints. A detoxifying effect is not scientifically plausible.
3,Does paxlovid protect unvaccinated people with risk factors from severe or even fatal covid 19 disease?,"Patients at risk without corona vaccination appear to be well protected from serious to fatal events by Paxlovid. However, it is not certain how well Paxlovid helps people who have already received corona vaccination. In addition, the scientists investigated whether Paxlovid alleviated the Covid-19 symptoms, shortened the duration of the disease and reduced the need for medical treatment: Half of the participants improved the symptoms with Paxlovid after 13 days, with placebo after 15 days. With Paxlovid, 14 out of 1000 participants needed medical treatment for Covid-19 within a month, with placebo 76 out of 1000. Whether with or without antibodies in the blood, Paxlovid basically protected all humans from a severe course.",yes,"In a large, well-done study, paxlovid prevented hospitalizations and deaths in high-risk patients. They were unvaccinated and had contracted the delta variant. For vaccinated people, the benefit cannot be reliably estimated. This also applies to people with immunodeficiency."
4,"Does starting school later improve health, learning success, and quality of life in adolescents?","However, teenagers and parents now have to be very strong: despite 27 studies involving hundreds of thousands of students, no clear results can be derived from research. The problem: The studies usually come to contradictory results. So until better research results are available, all troubled young people and parents will only have the option of remaining out of bed early – or to hope that, despite lack of evidence, the school management will still have an insight into it. It is difficult to examine whether a later start to school will have a positive effect. The Problems: Unknown Influencing Factors: If differences occur in previous-after-studies, these do not have to be due to the later start of school – they may also have been caused by other changes over the course of the study period.",unknown,"The question has been investigated in several large studies. Due to methodological deficiencies and contradictory results, no firm conclusions can be drawn. This means that science can currently neither speak for nor against a benefit of a later school start."
5,Does the F.X. Mayr cure have health benefits? Can it prevent diseases or treat them?,"Thus, the claim that the method can help with various diseases is not scientifically justified. These studies cannot answer whether these changes also affect health. Mayr cure or other fasting methods improve health in the long term, however, cannot be concluded.",unknown,"It is neither examined nor proven whether the special fasting method after F.X. Mayr holds, which it promises: Namely assistance with all possible illnesses of allergies, over rheumatism up to sleep disturbances. The advertised detoxification and ""purification"" of the body by the chamfering cure are besides scientifically not plausible."
6,Does the consumption of soy foods or soy isoflavones affect the appearance of acne skin?,"In both cases, certain soya ingredients are responsible for the effect on the skin: the isoflavones. There are two competing theories that contradict each other: according to the first theory, isoflavones confuse the hormone balance and are supposed to promote acne in this way. Surprisingly, despite searching in two large databases, we could not find a study on soy products and acne – whether soy milk, soy sauce or tofu. The isoflavones improved the skin appearance more than an anti-acne cream with vitamin A acid (Tretinoin). Conclusion: There is currently no evidence from reliable studies that soy makes acne worse.",unknown,"We could not find any meaningful studies at all on the influence of soy foods on acne. On soy isoflavones, we found two small studies of questionable quality that examined a very specific group of sufferers. Soy isoflavones improved the skin appearance somewhat. However, this result is not reliable."
7,Does extract from the Damiana plant (Turnera diffusa) help with erectile dysfunction?,Efficacy does not appear to have been studied or demonstrated. The studies in detail We could not find any studies on Damiana extract against erectile dysfunction in men. Studies on the product Neradin also appear to be missing.,unknown,"The extract from the Damiana plant (Turnera diffusa) is advertised as a remedy for erectile dysfunction for men. However, this claimed effect on potency is by no means proven. It has apparently never been tested on humans. This also applies to homeopathic remedies such as the product Neradin."
8,Is the homeopathic remedy Neradin effective for erectile dysfunction?,No studies on Neradin Also our search for studies on the product Neradin remained resultless. Studies on the product Neradin also appear to be missing.,unknown,"The extract from the Damiana plant (Turnera diffusa) is advertised as a remedy for erectile dysfunction for men. However, this claimed effect on potency is by no means proven. It has apparently never been tested on humans. This also applies to homeopathic remedies such as the product Neradin."
9,Does regular HPV testing in addition to the recommended Pap smear detect more precancerous lesions than just the Pap smear alone?,"According to the studies, the HPV test is likely to detect slightly more precursors of cervical cancer over several years than the PAP swab alone. We are therefore relatively sure that with an additional HPV test at least a little more precursors of uterine cancer are detected than only with the PAP swab alone.",yes,"Regular examination of the cervix by means of PAP smear tests detects precancerous stages of the cervix in most cases in good time. This reduces the risk of developing cervical cancer. An additional HPV test every three to five years can make screening even more reliable. However, the difference should not be too great."
10,Can monk's pepper reduce PMS symptoms? PMS is the abbreviation for premenstrual syndrome. This refers to complaints that occur in the days before menstruation.,"Reference to efficacy in PMS According to previous studies, monk peppers could actually help in PMS. The summarized study results indicate that the symptoms with monk pepper are reduced in more patients than with a sham medication (placebo). Therefore, it would be possible for monk peppers to act against PMS symptoms such as breast spacing.",yes,"In the studies to date, monk's pepper seems to relieve PMS symptoms better than a placebo. However, this is not well proven, because the studies have significant weaknesses. There is no evidence of an effect on menstrual disorders. Significant studies are lacking."
11,Can olive leaf extract reduce high blood pressure?,"These studies therefore do not indicate whether olive leaf extract can help with significantly increased blood pressure. Without success, however, we could not find any studies that investigated the effect of olive leaf extract on cardiovascular health. However, they cannot provide clear answers. It is therefore impossible to say whether olive leaves extract could have a better or worse effect with significantly increased blood pressure.",unknown,"Whether olive leaf extract lowers blood pressure has been investigated in five suitable studies to date. They all found no effect or only a slight effect of the extract. The problem with this is that most of the study participants had only slightly elevated blood pressure. They cannot answer how olive leaf extract works in people with significantly elevated blood pressure (hypertension). The studies also had gross flaws, few participants, and ran for a very short time. They cannot provide reliable answers."
12,Do green-lipped mussel preparations improve the symptoms of osteoarthritis?,"Studies overall not meaningful The conclusion of our research: Scientific evidence for the claimed effect is missing. It is also unclear whether the measured positive effects are large enough to actually be felt by those affected. Whether or not green-lipped mussel helps with osteoarthritis cannot be said at the moment. However, as early as 2009, the European Food Safety Authority considered that a protective effect of the green-lipped mussel on healthy joints has not been established. In our opinion, no reliable conclusions can be drawn from the studies found.",unknown,"The question was examined in four small studies with serious methodological deficiencies, which also arrived at partly contradictory results. No clear conclusions can be drawn from them. The claim that green-lipped mussel helps with osteoarthritis is not scientifically proven."
13,Can probiotics lower blood sugar in type 2 diabetes?,"And if so, can probiotics reverse this change and reduce blood sugar levels again? At the most small effect, they may actually be able to. However, the effect of the capsules and tablets does not seem to be large: in the previous studies, they were able to reduce the long-term sugar level HbA1c by an average of 0.55 points.",yes,"The summarized results of studies to date suggest that probiotics in capsule or tablet form could lower blood sugar somewhat. At least if they are taken over a period of two to three months. However, the effect is not well established. Probiotic dairy products and probiotic powder for dissolving do not seem to have any demonstrable effect."
14,Can the so-called Tupler technique help against rectus diastasis?,"No studies on the Tupler technique As intense as we were looking for, we could not find the promised studies on the Tupler technique. The claim that this is a scientifically proven therapy for rectus diastase is therefore simply wrong. The studies in detail We did not find any studies that investigated the effectiveness of the Tupler technique for the treatment of rectus diastase.",unknown,We could not find a single study that examined whether the Tupler technique actually works. And this despite the fact that providers of the method advertise that its effectiveness is scientifically proven.
15,Can CBD (cannabidiol) help with migraines or other headaches?,"Apparently, CBD has never been investigated to see if it can help with migraine seizures. The claim that CBD would help with migraines or headaches is pure speculation. The studies in detail Despite extensive search in three databases, we could not find any studies on CBD against migraine or other types of headache, neither for treatment nor for prevention.",unknown,There are no studies that have investigated the effectiveness of CBD against migraine. So claims that CBD can help with or prevent migraine attacks have no scientific basis. The same is true for other types of headache.
16,Can laser irradiation of blood by infusion needle (hemolaser treatment) relieve discomfort or help with diseases?,"It is also unclear by what mechanism blood irradiation with bundled red light – i.e. red laser – should improve health. Although the authors of the three studies found [1-3] claim to have established a clear efficacy of haemolaser treatment, none of the three studies is suitable to prove this.",unknown,There is no scientific evidence that hemolaser treatment has a palliative or curative effect on health problems.
17,"In everyday life, when breathing with an FFP2 mask or ordinary mouth-nose protection, do you get as much oxygen as without a mask?","As much oxygen as without a mask This fear is, however, unfounded, as previously conducted studies show [ 1,2 ]. Only in very strenuous sports (fast cycling to exhaustion) was the oxygen content in the blood with FFP2 mask slightly lower than without mask. There was no difference in oxygen measurement with ordinary oral nose protection. Breathing a little more strenuous The results thus contradict the rumor that masks would cause an oxygen deficiency.",yes,"Even if breathing with a mask can feel uncomfortable: According to studies to date, you get just as much oxygen with an FFP2 mask or mouth-nose protection as without a mask. This is true even when you are moving or exerting yourself. Only very intensive sports slightly reduce the oxygen content in the blood - but too little to endanger health."
18,Can CBD help with period pain?,"Because despite searching in three different databases we could not find a single study on CBD in case of regular pain. Scientifically, it is not sufficiently researched whether CBD actually promotes sleep, as providers claim. The studies in detail We could not find any studies that investigated whether CBD can help with normal pain – neither for treatment nor for prevention.",unknown,Whether CBD can relieve menstrual pain has apparently never been scientifically studied. We could not find any studies on this. Women who suffer from severe period pain should talk to a gynecologist about it. Diseases such as endometriosis could be behind it.
19,"Can a bioresonance device like ""Bioscan"" or ""Vieva Vital Analyser"" measure mineral and vitamin deficiencies or detect health problems?","This experiment clearly shows that the devices studied are completely unsuitable to diagnose a lack of vitamins or minerals. Sentenced for fraud at the end of May 2022, a German court also concluded that the Bioscan device cannot fulfil the claimed claims. Claims for comparable products are equally implausible. Even if 1000 subjects had participated in the study and only five to six people had shown such unreliable readings, such a device would be worthless for diagnostics.",no,"An experiment shows that the devices cannot distinguish between healthy people, seriously ill people and a corpse. The claimed mode of action behind the measurement method is also scientifically implausible. A German court has convicted the manufacturers of the Bioscan device (not legally binding) of fraud."
20,Does arthroscopy (joint endoscopy) help with osteoarthritis of the knee joint?,"What might sound logical, however, has a catch: the arthroscopy of osteoarthritis does nothing to the treated person. Studies clearly speak against a benefit A research team summarized the most meaningful of all previously published studies on arthroscopy in knee arthritis. In these studies, patients treated after arthroscopy had no noticeably less pain or movement restrictions than those treated only for appearance or not at all. Arthroscopy against osteoarthritis: not effective, but also not very risky After all: Undesirable events were not conspicuously common in the arthroscopy groups either.",no,The data are clear: Arthroscopy is useless as a treatment for knee osteoarthritis. It can neither relieve pain nor improve the function of the knee joint in the long term.
21,"Do dietary supplements containing silicon (e.g. as ""organic silicon"" or silica) have health benefits?","So far it is also completely unclear what role the element silicon plays in the human body at all [8]. We have researched: Previous studies do not provide any evidence that dietary supplements with silicon support bone build-up and thus protect older women from osteoporosis and bone fractures in old age [1,2]. There is no evidence that silicon improves the hair structure [3,4], strengthens the fingernails [4] or makes the skin more beautiful and elastic [4,6,7]. Also that silicon supports the formation of collagen and connective tissue is only a conjecture [8]. Conjectures without studies Neither we nor the European Food Safety Authority (EFSA) [8] were able to find clinical studies on any other alleged health benefits of silicon.",unknown,"There is no evidence so far that the additional intake of silicon can promote health. Also that it strengthens nails, skin and hair is an unsubstantiated claim. Moreover, it is unclear whether silicon plays any role at all in the body."
22,Can regular intake of cranberry juice or cranberry extract prevent recurrent cystitis in women?,"The summarized results show that the regular intake of cranberry products could have a preventive effect. There is also only evidence that cranberry products can prevent bladder inflammation for otherwise healthy women. Overall, there is evidence of a possible preventive effect of cranberry.",yes,"Women who repeatedly have to deal with bladder infections might become ill somewhat less frequently if they regularly take cranberry juice or extract. However, this is not well established. And it only applies to uncomplicated bladder infections in otherwise healthy women. Whether cranberry products help when cystitis is already present remains unclear. This has not yet been investigated in meaningful studies."
