,questions,documents,answers,explanations
0,Does dimenhydrinate relieve travel nausea better than a placebo?,"However, we are very sceptical here: we consider the results to be so little meaningful that we can neither see any evidence of effectiveness nor exclude it. In general, it remains questionable how reliable the results can be transferred to other situations where travel sickness occurs. However, we do not consider this assessment to be meaningful: the number of test subjects was far too small, and, therefore, the fluctuation range was far too large.",unknown,"The best available studies on the subject are unfortunately not conclusive, for example because they were quite small and the publications lack many details for traceability.  Therefore, we can neither prove nor exclude an effect."
1,Does dimenhydrinate relieve travel nausea as well as the proven drug scopolamine???,"According to study authors, dimenhydrinate is supposed to help better than a placebo but has a worse effect than the proven drug Scopolamine.",unknown,"The best available studies on the subject are unfortunately not conclusive, for example because they were quite small and the publications lack many details for traceability.  Therefore, we can neither prove nor exclude an effect."
2,Does short-term fasting improve quality of life in cancer?,"On this basis, we cannot reliably say whether fasting during chemotherapy is actually useful or not, thus reducing side effects and improving the quality of life. In terms of quality of life, there are already contradictions within the individual studies: in the study [1b], in which the participants switched between fasting and non-fasting after half of the chemotherapy, only in one group did the quality of life improve during fasting, in the other the quality of life did not improve. Whether this is actually noticeable for cancer patients remains questionable.",unknown,We found only three very small studies on both questions. Their results are so unreliable that we cannot make any assessment. So we cannot say whether the quality of life of those affected is improved and whether fasting during chemotherapy reduces side effects.
3,Does short-term fasting reduce the side effects of chemotherapy for cancer???,"On this basis, we cannot reliably say whether fasting during chemotherapy is actually useful or not, thus reducing side effects and improving the quality of life. Whether fasting prevents or mitigates the side effects of chemotherapy is also not clear from the results: In one of the studies [1a] there was no difference in side effects such as fatigue or nerve pain: they were similarly common and similarly severe in both groups. All of this means that the results of the studies are extremely uncertain and we cannot see or exclude the effectiveness of fasting.",unknown,We found only three very small studies on both questions. Their results are so unreliable that we cannot make any assessment. So we cannot say whether the quality of life of those affected is improved and whether fasting during chemotherapy reduces side effects.
4,Are extracts of Artemisa annua (annual mugwort) or the active ingredient artemisinin obtained from it effective against coronavirus?,"We have not found any studies to prevent Corona infection. However, it has several inconsistencies, so it cannot answer whether Artemisia helps the sick. However, the limited anti-malaria effect of artemisinin does not indicate efficacy against other diseases. For several reasons, we do not consider these results to be reliable: The standard treatment differed greatly: some of the participants received, for example, cortisone-containing drugs that are known to be effective, while others did not.",unknown,"To date, only one study can be found that investigated Artemisia treatment in mild covid-19 progression. However, due to numerous shortcomings, the results are not conclusive. It has not been studied whether Artemisia helps or prevents severe covid 19 disease or whether the plant can prevent coronavirus infection."
5,Can zinc mitigate the progression of Covid-19?,"Thus zinc should not cause Covid-19 sufferers to get better more quickly [3]. However, compared to the other half that did not take zinc, they did not recover faster. So these results suggest that zinc treatment at Covid-19 is not helpful.",no,The results of two studies on this suggest that sufferers with Covid-19 do not recover more quickly with zinc than without. A preventive effect has not yet been investigated in studies.
6,Does zinc preventively protect against covid-19 disease???,A preventive effect has not yet been researched in a single study. It is therefore unclear whether the preventive use of zinc preparations protects against an infection with SARS-CoV-2 or a Covid-19 disease.,unknown,The results of two studies on this suggest that sufferers with Covid-19 do not recover more quickly with zinc than without. A preventive effect has not yet been investigated in studies.
7,Does a cold spray with trypsin protect against colds or covid-19? Does the spray reduce symptoms and duration of illness?,"No previously published study has investigated whether the cold spray can prevent a disease. Thus, it is not certain that the cold spray shortens the duration of a cold. If you look at the number of people who report cold complaints after artificial infection (21 out of 23 in the spray group, 16 out of 23 in the placebo group), there is no clear difference that speaks for a preventive effect of the cold spray. Therefore, we do not consider the results of the study meaningful: With spray, the participants assessed the duration of their cold shorter (7.7 days) than without spray (10.4 days). Interestingly, there was no clear difference between the two groups: The spray group did not reach much less to other colds than the control group.",unknown,The question was investigated in two small studies with gross deficiencies. They cannot prove that treatment with the cold spray relieves symptoms or shortens the duration of illness. Whether the spray has a preventive effect has not been researched for either colds or Covid-19.
8,"Does injecting low-dose Corona vaccine into the skin (mesotherapy vaccination, microvaccination) protect against Covid-19 as well as proven full-dose vaccination into muscle?",Whether the mesotherapy vaccination against the coronavirus protects against a covid-19 disease is not researched. Whether Corona vaccination by mesotherapy provides effective protection against Covid-19 remains unclear.,unknown,"Some doctors offer corona vaccination using the so-called mesotherapeutic method. Here, vaccination is administered into the skin instead of into the upper arm muscle, with a fraction of the tested and approved dose. Such applications have not been explored for the Corona vaccines. Effective protection against Covid-19 is not assured."
9,Do herbal remedies with nasturtium and horseradish (Kren) prevent recurrent cystitis?,"In the prevention study, it can be seen that the herbal product and the sham medication did not differ significantly in the case of symptoms such as nausea or allergic reactions [1]. According to this, the capuchin cress-meerrettiche preparation probably does not offer any preventive protection.",no,"As for prevention, we have found only one small but somewhat reliable study. According to this, nasturtium-horseradish remedies probably cannot prevent cystitis. For the treatment of cystitis, we were also only able to evaluate one study. However, it leaves too many questions unanswered to be able to clearly assess its effectiveness."
10,Do herbal remedies with nasturtium and horseradish alleviate the symptoms of cystitis as well as an antibiotic???,"The antibiotic alleviated the discomfort faster than the product with capuchin cress and horseradish, after eight days there was no difference. Therefore, the herbal agent is not likely to be a full substitute for an antibiotic.",unknown,"As for prevention, we have found only one small but somewhat reliable study. According to this, nasturtium-horseradish remedies probably cannot prevent cystitis. For the treatment of cystitis, we were also only able to evaluate one study. However, it leaves too many questions unanswered to be able to clearly assess its effectiveness."
11,Does mistletoe therapy help against cancer or can it improve the quality of life of cancer patients?,"It is currently unclear whether cancer sufferers live longer or better due to mistletoe therapy. No longer survival time detectable The analysis of the previously published survival studies [1] shows that overall mistletoe therapy does not seem to be able to prolong the lifetime of cancer patients. In order to prove this, meaningful studies are still missing – even after about a hundred years.The studies in detail We looked for overviews in three different databases, which summarize the current study situation on mistletoe therapy in cancer.",unknown,"Mistletoe therapy for cancer has been investigated in some studies. However, these are very poor and come to inconsistent results. They cannot prove that mistletoe therapy is effective. In addition, there is a suspicion that mistletoe preparations may even stimulate tumor growth in some types of cancer."
12,Can homeopathic remedies prevent colds in children?,"Benefits for prevention improbable The conclusion of the review work: Homeopathy is probably not an effective means of preventing colds in children. Children who regularly took homeopathic medicines were not less likely to become ill in the meaningful studies and their colds were not milder. Overall, the studies could not find a preventive effect of homeopathic medicines; they did not reduce the frequency or severity of cold diseases.",no,"Well-conducted studies find neither a preventive nor an alleviating effect of homeopathy on children's colds (chills). However, these studies have examined too few children for a truly conclusive result. Larger studies would be needed for a clear answer.  It is not scientifically plausible that homeopathic remedies are effective."
13,Can homeopathic remedies relieve colds in children??,Children who regularly took homeopathic medicines were not less likely to become ill in the meaningful studies and their colds were not milder. The few well-executed studies clearly showed no effect of homeopathy against colds.,no,"Well-done studies find neither a preventive nor an alleviating effect of homeopathy on children's colds (chills). However, these studies have examined too few children for a truly conclusive result. Larger studies would be needed for a clear answer.  It is not scientifically plausible that homeopathic remedies are effective."
14,Do agents containing uridine and/or cytidine improve the symptoms of polyneuropathy?,"Despite searching in three large databases, we have not been able to find any studies that met these criteria. Whether drugs with uridine and/or cytidine actually help with polyneuropathia, we cannot estimate on this basis.",unknown,We have not been able to find any meaningful studies on this question.
15,Can treatments with ultrasound relieve the pain of osteoarthritis?,"In three studies [3-5], there was no clear benefit from the treatment in the ultrasound group. [2] Many promises, little behind osteoarthritis can greatly affect the quality of life. The summary of the different study results, although purely mathematically, indicated that ultrasound as therapy has no analgesic effect. Therefore, better studies must clarify the potential efficacy of ultrasound therapy against osteoarthritis pain.",unknown,"A number of studies have investigated whether ultrasound can help with osteoarthritis of the knee joints. However, their results are not conclusive; the study results are too contradictory to make a definite statement. For osteoarthritis of the hip or hands, this has not been investigated at all."
16,Does regular exercise reduce the severity and duration of colds and other respiratory infections?,"However, the studies indicate that regular exercise can reduce the duration and severity of respiratory infections. Thus, regular exercise increases life expectancy and reduces, among other things, the risk of cardiovascular diseases such as heart attack or stroke diabetes cancer depression. The studies suggest that although the number of infections can not be reduced by sport, it may be a little milder for the duration of the disease and for the duration of the disease as a whole.",yes,"Previous studies suggest that sports-playing people may be just as likely to have respiratory infections as sports-muffle people. However, the illnesses are likely to be somewhat less severe and a bit shorter overall."
17,Can regular exercise prevent you from getting a cold or other respiratory infections???,"People who practice sports on a regular basis are likely to suffer as often from respiratory infections as sports muffles. The studies suggest that although the number of infections can not be reduced by sport, it may be a little milder for the duration of the disease and for the duration of the disease as a whole.",no,"Previous studies suggest that sports-playing people may be just as likely to have respiratory infections as sports-muffle people. However, the illnesses are likely to be somewhat less severe and a bit shorter overall."
18,"Can cold showers, cold baths or cold water treading according to Kneipp prevent colds and respiratory infections in adults?","After evaluating the best available studies, we have come to the conclusion that the question is simply not well enough to speak out for or against effectiveness. These studies, too, cannot demonstrate or exclude any effect.",unknown,The three studies conducted to date are too deficient to answer this question.
19,"Can the Wim Hof method - consisting of breathing training, meditation and acclimatization to cold - strengthen the immune system of healthy people and thus prevent infectious diseases?","Cold without proven effect for health For none of these promises there is evidence. The study also cannot answer whether trained people reacted less strongly to the bacterial poison than non-trained people – because they lack accurate data. Even if the study had been carried out better, the extent to which this actually brings health benefits such as a reduced risk of infectious diseases is entirely speculative. Even if it were better methodically, it could not answer whether it is the cold that does anything. The cold records from Wim Hof are partly impressive, but whether cold training has a health benefit can not prove this study.",unknown,"There are individual small studies on the Wim Hof method, but they are poor and inconclusive. Whether the method reduces the probability of infectious diseases has never been researched."
20,Do saw palmetto preparations improve the symptoms of benign enlarged prostate (benign prostatic hyperplasia) in the longer term compared to placebo?,"No better than placebo The two systematic overviews [1,2] come to the conclusion in the summary in agreement: The saw palm preparations do not relieve prostate problems better than a sham medication. In other studies that tested saw palm as an addition to tamsulosin, the addition of saw palm did not bring any extra benefit.",no,"According to current studies, remedies with saw palmetto do not improve the symptoms of a benign enlarged prostate in the longer term more than a placebo. This assessment is well supported."
21,Does honey help against acute cough in children?,"Probably effective – a little It turned out that honey as an anti-cough remedy is likely to have a certain justification. With honey, the severity of the cough was about 2 points better the next day. Thus, honey can obviously help children with acute cough a little by reducing discomfort and shortening their duration. The shortening of the cough duration was also noticeable, but not spectacular: it was reduced from a good 5 days (with placebo) to about four and a half days (with honey). Thus, honey is likely to have a positive effect both on the duration of coughing and on the symptoms associated with coughing, albeit on a modest scale.",yes,"Honey should help children with acute cough: The coughing attacks are likely to become somewhat less frequent, weaker and less distressing. Children's and parents' sleep may also improve, and the time to resolution is likely to be a little shorter. However, the effects achieved are only small."
22,Can Artemisia tea cure malaria as well as drugs?,"And even if there were no problems with resistance – it is questionable whether Artemisia remedies from non-professional self-cultivation could reliably compete with the standardized quality of artemisinin drugs. Based on the studies available to us, we can neither clearly demonstrate nor completely exclude the benefit of Artemisia tea for sustainable malaria treatment with low relapse probability.",unknown,"Four studies with a total of relatively few participants come to contradictory results. Since all studies have problems, we cannot draw any meaningful conclusions about the healing success - i.e., we can neither confirm nor exclude a positive lasting effect."
23,Does thyme help against cough?,"We couldn't find a single clinical trial that investigated exclusively thyme for an effect against cough. Conjectures without evidence Although it is not proven that ingredients of the thyme can actually relieve cough, it is also not refuted. However, there is no scientific evidence to date that the mucus solution itself has a relieving or shortening effect on cough [7,8]. Therefore, it cannot be said directly whether thyme alone can relieve cough.",unknown,Whether thyme is effective against cough has not yet been researched in meaningful studies.
24,Does coenzyme Q10 relieve muscle discomfort during treatment with statins?,"In seven studies, the coenzyme Q10 group was no better than the placebo group. When the research team removed this study from the overall evaluation, the remaining studies came together to a relatively similar result: Coenzyme Q10 does not help better than a sham medication.",unknown,"Several studies come to contradictory results. In addition, the range of variation in the estimated effect is very large, and the individual studies have certain shortcomings. On this basis, no firm conclusions can be drawn."
25,Does Chaga mushroom help against cancer or other diseases?,Such study results cannot say anything concrete about the effect in the human body. It is therefore impossible to answer whether the chaga mushroom can cure or prevent diseases.,unknown,The effect of Chaga mushrooms has not yet been investigated in studies with humans.
